key	value
preselected_input_fasta	/n/home05/zhihuiqi/qzh/IC50/data_processed/dfr_family/dfrA_plus_folA_ref.fasta
input_msa	/n/home05/zhihuiqi/qzh/IC50/data_processed/dfr_family/dfrA_plus_folA_ref_mafft.fasta
p0abq4_reference_header	sp|P0ABQ4|DYR_ECOLI Dihydrofolate reductase OS=Escherichia coli (strain K12) OX=83333 GN=folA PE=1 SV=1
p0abq4_aa20_alignment_column_1based	37
preselected_non_p0abq4_records	707
preselected_headers_matching_dfra_regex	707
total_records	708
p0abq4_reference	1
included_non_p0abq4	707
standard_aa20	682
gap_aa20	25
nonstandard_aa20	0
post_msa_records_not_matching_dfra_regex	1
example_gap	tr|A0A9W4PKS3|A0A9W4PKS3_9BACI|dhfrdom1 tr|A0A9W4PKS3|A0A9W4PKS3_9BACI dihydrofolate reductase OS=Peribacillus simplex OX=1478 GN=dfrA PE=3 SV=1 | DHFR_domain1:1-119 || tr|A0A380DTQ7|A0A380DTQ7_STAAU|dhfrdom1 tr|A0A380DTQ7|A0A380DTQ7_STAAU dihydrofolate reductase OS=Staphylococcus aureus OX=1280 GN=dfrA_1 PE=3 SV=1 | DHFR_domain1:1-127 || tr|A0A645E7C7|A0A645E7C7_9ZZZZ|dhfrdom1 tr|A0A645E7C7|A0A645E7C7_9ZZZZ dihydrofolate reductase OS=bioreactor metagenome OX=1076179 GN=dfrA_12 PE=4 SV=1 | DHFR_domain1:1-101
example_nonstandard	
